"Altitude[m]","Temperature[Kelvin]","Pressure[pascal]","Density[kg/m3]","Speed of sound[m/s]","Viscosity[Pa.s]"
0,288.15,101325,1.225,340.294,0.0000181206
50,287.825,100726,1.21913,340.102,0.0000181043
100,287.5,100129,1.21328,339.91,0.0000180881
150,287.175,99536,1.20746,339.718,0.0000180718
200,286.85,98945.3,1.20165,339.526,0.0000180556
250,286.525,98357.5,1.19587,339.333,0.0000180393
300,286.2,97772.6,1.19011,339.141,0.000018023
350,285.875,97190.4,1.18436,338.948,0.0000180068
400,285.55,96611.1,1.17864,338.755,0.0000179905
450,285.225,96034.6,1.17295,338.563,0.0000179742
500,284.9,95460.8,1.16727,338.37,0.0000179579
550,284.575,94889.9,1.16161,338.177,0.0000179415
600,284.25,94321.7,1.15598,337.983,0.0000179252
650,283.925,93756.2,1.15036,337.79,0.0000179089
700,283.6,93193.6,1.14477,337.597,0.0000178925
750,283.275,92633.6,1.1392,337.403,0.0000178762
800,282.95,92076.4,1.13364,337.21,0.0000178598
850,282.625,91521.9,1.12811,337.016,0.0000178434
900,282.3,90970.1,1.1226,336.822,0.0000178271
950,281.975,90421,1.11711,336.628,0.0000178107
1000,281.65,89874.6,1.11164,336.434,0.0000177943
1050,281.325,89330.8,1.10619,336.24,0.0000177779
1100,281,88789.8,1.10077,336.046,0.0000177615
1150,280.675,88251.3,1.09536,335.851,0.000017745
1200,280.35,87715.6,1.08997,335.657,0.0000177286
1250,280.025,87182.5,1.0846,335.462,0.0000177122
1300,279.7,86651.9,1.07925,335.267,0.0000176957
1350,279.375,86124.1,1.07393,335.073,0.0000176793
1400,279.05,85598.8,1.06862,334.878,0.0000176628
1450,278.725,85076.1,1.06333,334.683,0.0000176463
1500,278.4,84556,1.05807,334.487,0.0000176298
1550,278.075,84038.5,1.05282,334.292,0.0000176133
1600,277.75,83523.5,1.04759,334.097,0.0000175968
1650,277.425,83011.1,1.04239,333.901,0.0000175803
1700,277.1,82501.3,1.0372,333.705,0.0000175638
1750,276.775,81994,1.03203,333.51,0.0000175473
1800,276.45,81489.2,1.02688,333.314,0.0000175307
1850,276.125,80987,1.02176,333.118,0.0000175142
1900,275.8,80487.2,1.01665,332.922,0.0000174976
1950,275.475,79990,1.01156,332.726,0.0000174811
2000,275.15,79495.2,1.00649,332.529,0.0000174645
2050,274.825,79002.9,1.00144,332.333,0.0000174479
2100,274.5,78513.1,0.99641,332.136,0.0000174313
2150,274.175,78025.8,0.991399,331.94,0.0000174147
2200,273.85,77540.9,0.986407,331.743,0.0000173981
2250,273.525,77058.5,0.981435,331.546,0.0000173815
2300,273.2,76578.4,0.976481,331.349,0.0000173649
2350,272.875,76100.9,0.971547,331.152,0.0000173482
2400,272.55,75625.7,0.966632,330.954,0.0000173316
2450,272.225,75152.9,0.961736,330.757,0.0000173149
2500,271.9,74682.5,0.956859,330.56,0.0000172983
2550,271.575,74214.5,0.952001,330.362,0.0000172816
2600,271.25,73748.9,0.947162,330.164,0.0000172649
2650,270.925,73285.7,0.942341,329.966,0.0000172482
2700,270.6,72824.8,0.93754,329.768,0.0000172315
2750,270.275,72366.3,0.932757,329.57,0.0000172148
2800,269.95,71910.1,0.927993,329.372,0.0000171981
2850,269.625,71456.2,0.923247,329.174,0.0000171813
2900,269.3,71004.7,0.91852,328.975,0.0000171646
2950,268.975,70555.5,0.913812,328.777,0.0000171479
3000,268.65,70108.5,0.909122,328.578,0.0000171311
3050,268.325,69663.9,0.904451,328.379,0.0000171143
3100,268,69221.6,0.899798,328.18,0.0000170976
3150,267.675,68781.5,0.895163,327.981,0.0000170808
3200,267.35,68343.7,0.890546,327.782,0.000017064
3250,267.025,67908.2,0.885948,327.583,0.0000170472
3300,266.7,67474.9,0.881368,327.383,0.0000170304
3350,266.375,67043.9,0.876806,327.184,0.0000170135
3400,266.05,66615,0.872262,326.984,0.0000169967
3450,265.725,66188.5,0.867737,326.784,0.0000169799
3500,265.4,65764.1,0.863229,326.584,0.000016963
3550,265.075,65341.9,0.858739,326.384,0.0000169462
3600,264.75,64921.9,0.854267,326.184,0.0000169293
3650,264.425,64504.2,0.849813,325.984,0.0000169124
3700,264.1,64088.6,0.845377,325.784,0.0000168955
3750,263.775,63675.1,0.840958,325.583,0.0000168786
3800,263.45,63263.9,0.836557,325.382,0.0000168617
3850,263.125,62854.7,0.832174,325.182,0.0000168448
3900,262.8,62447.8,0.827808,324.981,0.0000168279
3950,262.475,62042.9,0.82346,324.78,0.000016811
4000,262.15,61640.2,0.819129,324.579,0.000016794
4050,261.825,61239.6,0.814816,324.377,0.0000167771
4100,261.5,60841.2,0.81052,324.176,0.0000167601
4150,261.175,60444.8,0.806242,323.975,0.0000167431
4200,260.85,60050.5,0.801981,323.773,0.0000167261
4250,260.525,59658.3,0.797737,323.571,0.0000167092
4300,260.2,59268.2,0.79351,323.369,0.0000166922
4350,259.875,58880.1,0.789301,323.167,0.0000166751
4400,259.55,58494.2,0.785108,322.965,0.0000166581
4450,259.225,58110.2,0.780933,322.763,0.0000166411
4500,258.9,57728.3,0.776775,322.56,0.0000166241
4550,258.575,57348.5,0.772633,322.358,0.000016607
4600,258.25,56970.6,0.768509,322.155,0.00001659
4650,257.925,56594.8,0.764401,321.952,0.0000165729
4700,257.6,56221,0.76031,321.75,0.0000165558
4750,257.275,55849.2,0.756236,321.547,0.0000165387
4800,256.95,55479.4,0.752179,321.343,0.0000165216
4850,256.625,55111.6,0.748138,321.14,0.0000165045
4900,256.3,54745.7,0.744114,320.937,0.0000164874
4950,255.975,54381.8,0.740107,320.733,0.0000164703
5000,255.65,54019.9,0.736116,320.529,0.0000164531
5050,255.325,53659.9,0.732141,320.326,0.000016436
5100,255,53301.9,0.728183,320.122,0.0000164188
5150,254.675,52945.8,0.724242,319.918,0.0000164017
5200,254.35,52591.7,0.720317,319.713,0.0000163845
5250,254.025,52239.4,0.716408,319.509,0.0000163673
5300,253.7,51889.1,0.712515,319.305,0.0000163501
5350,253.375,51540.7,0.708638,319.1,0.0000163329
5400,253.05,51194.2,0.704778,318.895,0.0000163157
5450,252.725,50849.6,0.700934,318.691,0.0000162985
5500,252.4,50506.8,0.697106,318.486,0.0000162813
5550,252.075,50165.9,0.693294,318.28,0.000016264
5600,251.75,49826.9,0.689497,318.075,0.0000162468
5650,251.425,49489.8,0.685717,317.87,0.0000162295
5700,251.1,49154.5,0.681953,317.664,0.0000162122
5750,250.775,48821,0.678204,317.459,0.0000161949
5800,250.45,48489.4,0.674471,317.253,0.0000161777
5850,250.125,48159.6,0.670754,317.047,0.0000161604
5900,249.8,47831.6,0.667053,316.841,0.000016143
5950,249.475,47505.4,0.663367,316.635,0.0000161257
6000,249.15,47181,0.659697,316.428,0.0000161084
6050,248.825,46858.5,0.656043,316.222,0.000016091
6100,248.5,46537.7,0.652404,316.015,0.0000160737
6150,248.175,46218.7,0.64878,315.809,0.0000160563
6200,247.85,45901.4,0.645172,315.602,0.000016039
6250,247.525,45586,0.641579,315.395,0.0000160216
6300,247.2,45272.3,0.638002,315.188,0.0000160042
6350,246.875,44960.3,0.634439,314.98,0.0000159868
6400,246.55,44650.1,0.630892,314.773,0.0000159694
6450,246.225,44341.6,0.627361,314.566,0.000015952
6500,245.9,44034.8,0.623844,314.358,0.0000159345
6550,245.575,43729.8,0.620343,314.15,0.0000159171
6600,245.25,43426.5,0.616856,313.942,0.0000158996
6650,244.925,43124.9,0.613385,313.734,0.0000158822
6700,244.6,42825,0.609928,313.526,0.0000158647
6750,244.275,42526.7,0.606487,313.317,0.0000158472
6800,243.95,42230.2,0.60306,313.109,0.0000158297
6850,243.625,41935.3,0.599648,312.9,0.0000158122
6900,243.3,41642.2,0.596251,312.692,0.0000157947
6950,242.975,41350.6,0.592869,312.483,0.0000157772
7000,242.65,41060.7,0.589501,312.274,0.0000157596
7050,242.325,40772.5,0.586148,312.064,0.0000157421
7100,242,40485.9,0.58281,311.855,0.0000157245
7150,241.675,40201,0.579486,311.646,0.000015707
